product_id,creator_id,status,name,note,description_list,description_detail,search_word,free_area,del_flg,create_date,update_date
3495,2,1,"【浴衣着付け体験＆SHIBUYA SKY入場券セットプラン】＋0830単衣訪問着［ピンク地に草花］",,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,"i-nh375,池袋,着物,きもの,レンタル,単衣",,1,"2018-08-30 18:50:59","2023-08-11 13:30:27"
3496,2,1,特選七歳祝着［赤総絞の手まりと桜模様］,,赤い総絞りに、刺繍で手まりや雪輪に桜模様が施されている豪華なお祝い着です。金に花模様の帯を手結びいたしました。,赤い総絞りに、刺繍で手まりや雪輪に桜模様が施されている豪華なお祝い着です。金に花模様の帯を手結びいたしました。,"s-7s038,着物,きもの,レンタル,七五三(七歳祝着),渋谷",,0,"2018-11-02 16:45:31","2018-11-02 16:45:31"
3497,2,1,2特選七歳祝着［赤総絞の手まりと桜模様］,,赤い総絞りに、刺繍で手まりや雪輪に桜模様が施されている豪華なお祝い着です。金に花模様の帯を手結びいたしました。,赤い総絞りに、刺繍で手まりや雪輪に桜模様が施されている豪華なお祝い着です。金に花模様の帯を手結びいたしました。,"s-7s038,着物,きもの,レンタル,七五三(七歳祝着),渋谷",,0,"2018-11-02 16:51:19","2018-11-02 16:51:19"
3498,2,1,商品追加テスト,,,テスト用の商品です。,,,0,"2020-06-19 10:34:34","2020-06-19 10:34:34"
3499,2,1,phuong-test-kimono,,,赤い総絞りに、刺繍で手まりや雪輪に桜模様が施されている豪華なお祝い着です。金に花模様の帯を手結びいたしました。,,,0,"2021-05-27 13:23:30","2021-05-27 13:23:30"
3500,2,1,test-3333,,,,,,0,"2021-05-27 15:25:31","2021-05-27 15:25:31"
3501,2,1,phuong-test,,,"test test",,,0,"2021-05-27 18:21:49","2021-05-27 18:21:49"
3502,2,1,testing,,,,,,0,"2021-05-31 12:27:28","2021-05-31 12:27:28"
3503,2,1,test01,,テストテストテストテストテストテスト,テストテストテストテストテストテスト,,,0,"2021-09-24 18:19:31","2021-09-24 18:19:31"
3507,2,1,【東急チケット付き】hondatest01,,テストテストテストテストテストテスト,"テストテストテストテストテストテスト
<div style=""border : 1px solid #f00; margin-bottom: 1em; padding: 1em;"">本商品には東急チケット（2,200円：税込）が含まれます。チケットは着付け当日に店舗にてお渡しいたします。本商品はご来店着付けのみ対応いたします。宅配レンタルには対応しておりません。</div>",,,0,"2021-09-27 13:12:26","2023-07-05 15:22:20"
3508,2,1,xinhtest02,hihi,haha,hoho,,,0,"2021-09-27 13:26:40","2021-09-27 13:26:54"
