item_id,order_id,product_id,product_class_id,shipping_id,product_name,product_code,class_name1,class_name2,class_category_name1,class_category_name2,price,quantity
193,114,2961,2039,114,振袖(こげ茶・ぼたん),s-fr127,,,,,48600,1
194,114,3451,3619,114,安心パック,secure_pack,,,,,1080,2
195,114,1119,3544,114,ひとえ_小紋(薄紫地・洋花),i-nh342,,,,,8640,1
196,115,667,2969,115,カジュアル着物(ゆかた)　6月〜9月まで,g-yw160,,,,,13500,1
197,115,3451,3619,115,安心パック,secure_pack,,,,,1080,2
198,115,3404,3149,115,浴衣(玉城ティナ・キスミス),s-yw290,,,,,12960,1
199,116,2962,2037,116,振袖(黒地・糸菊),s-fr128,,,,,48600,1
200,116,3451,3619,116,安心パック,secure_pack,,,,,1080,1
201,117,2962,2037,117,振袖(黒地・糸菊),s-fr128,,,,,48600,1
202,117,3451,3619,117,安心パック,secure_pack,,,,,1080,2
203,117,3328,3123,117,ゆかた(日本の伝統美・竹),y-yw466,,,,,5400,1
204,118,2289,2155,118,振袖[山吹色地に伝統文様],y-fr456,,,,,43200,1
205,118,3451,3619,118,安心パック,secure_pack,,,,,1080,1
206,118,446,956,118,ひとえ_小紋_【カジュアル】,g-nhk003,,,,,9720,1
207,119,3445,3188,119,カジュアル小紋(ポリ),g-km058,,,,,9720,1
208,119,3451,3619,119,安心パック,secure_pack,,,,,1080,1
209,120,3402,3164,120,浴衣(玉城ティナ・キスミス),s-yw280,,,,,12960,1
210,120,3451,3619,120,安心パック,secure_pack,,,,,1080,2
211,120,3401,3146,120,浴衣(ツモリチサト・菱つなぎ),s-yw291,,,,,10800,1
212,121,3451,3619,121,安心パック,secure_pack,,,,,1080,1
213,121,153,2481,121,振袖,g-fr148,,,,,37800,1
214,122,2886,2530,122,卒業袴(ひとつづつ自分で選ぶコーナー),y-hk426,,,,,36720,1
215,122,3451,3619,122,安心パック,secure_pack,,,,,1080,1
