plg_point_customer_id,plg_point_current,customer_id,create_date,update_date
362,972,2633,"2019-07-09 12:33:42","2019-07-09 12:33:42"
363,0,2669,"2019-07-10 10:05:33","2019-07-10 10:05:33"
364,0,2669,"2019-07-10 10:06:04","2019-07-10 10:06:04"
365,0,2669,"2019-07-10 10:07:46","2019-07-10 10:07:46"
366,0,2669,"2019-07-10 10:09:58","2019-07-10 10:09:58"
367,0,2656,"2019-08-05 12:41:52","2019-08-05 12:41:52"
368,0,2656,"2019-08-05 12:43:14","2019-08-05 12:43:14"
369,972,2633,"2019-08-05 15:45:43","2019-08-05 15:45:43"
370,0,2668,"2019-08-05 16:55:27","2019-08-05 16:55:27"
371,0,2668,"2019-08-05 16:56:57","2019-08-05 16:56:57"
372,0,2656,"2019-08-16 19:14:03","2019-08-16 19:14:03"
373,0,2656,"2019-08-19 11:53:07","2019-08-19 11:53:07"
375,0,2656,"2019-08-19 12:01:56","2019-08-19 12:01:56"
376,972,2633,"2019-08-19 12:23:03","2019-08-19 12:23:03"
377,972,2633,"2019-08-19 12:25:34","2019-08-19 12:25:34"
378,0,2668,"2019-08-21 10:08:27","2019-08-21 10:08:27"
379,0,2668,"2019-08-21 10:09:34","2019-08-21 10:09:34"
380,0,2669,"2019-08-21 14:46:54","2019-08-21 14:46:54"
381,0,2669,"2019-08-21 14:48:56","2019-08-21 14:48:56"
382,0,2656,"2019-09-02 11:50:15","2019-09-02 11:50:15"
383,972,2633,"2019-09-04 11:21:41","2019-09-04 11:21:41"
384,0,2670,"2019-09-04 11:44:31","2019-09-04 11:44:31"
385,0,2670,"2019-09-04 11:53:32","2019-09-04 11:53:32"
386,0,2670,"2019-09-04 11:57:09","2019-09-04 11:57:09"
387,0,2670,"2019-09-04 12:13:21","2019-09-04 12:13:21"
388,972,2633,"2019-09-04 12:41:57","2019-09-04 12:41:57"
389,972,2633,"2019-09-04 12:46:09","2019-09-04 12:46:09"
390,0,2656,"2019-09-05 12:55:25","2019-09-05 12:55:25"
391,638,2657,"2019-09-05 14:24:26","2019-09-05 14:24:26"
392,486,2669,"2019-09-05 14:41:55","2019-09-05 14:41:55"
393,972,78,"2019-09-12 13:57:56","2019-09-12 13:57:56"
394,1180,2656,"2019-10-02 18:01:08","2019-10-02 18:01:08"
395,2360,2656,"2019-10-03 10:18:20","2019-10-03 10:18:20"
396,4080,2656,"2019-10-03 10:26:14","2019-10-03 10:26:14"
397,4666,2656,"2019-10-03 10:28:58","2019-10-03 10:28:58"
398,5522,2656,"2019-10-03 10:32:52","2019-10-03 10:32:52"
399,6378,2656,"2019-10-03 10:43:21","2019-10-03 10:43:21"
400,7458,2656,"2019-10-03 10:47:59","2019-10-03 10:47:59"
401,8044,2656,"2019-10-03 10:49:00","2019-10-03 10:49:00"
402,9224,2656,"2019-10-03 10:58:38","2019-10-03 10:58:38"
403,1458,2633,"2019-12-18 14:17:47","2019-12-18 14:17:47"
404,586,2660,"2020-02-17 18:45:41","2020-02-17 18:45:41"
405,986,2660,"2020-04-14 10:26:15","2020-04-14 10:26:15"
406,1386,2660,"2020-04-14 10:37:11","2020-04-14 10:37:11"
407,2086,2660,"2020-06-12 14:40:39","2020-06-12 14:40:39"
408,2386,2660,"2020-06-12 16:25:54","2020-06-12 16:25:54"
409,0,2369,"2020-06-18 10:37:42","2020-06-18 10:37:42"
410,0,2369,"2020-06-18 10:37:42","2020-06-18 10:37:42"
411,786,2669,"2020-06-19 10:09:35","2020-06-19 10:09:35"
412,2838,2669,"2020-06-19 10:25:01","2020-06-19 10:25:01"
413,3036,2660,"2020-07-02 17:56:04","2020-07-02 17:56:04"
414,3470,2660,"2020-07-02 18:34:05","2020-07-02 18:34:05"
415,4228,2660,"2020-07-07 13:54:05","2020-07-07 13:54:05"
416,5338,2660,"2020-07-07 14:09:45","2020-07-07 14:09:45"
417,1080,2668,"2021-03-12 16:55:33","2021-03-12 16:55:33"
418,1998,2633,"2021-03-30 10:40:16","2021-03-30 10:40:16"
419,2298,2633,"2021-03-30 14:28:13","2021-03-30 14:28:13"
420,2708,2633,"2021-03-30 18:28:59","2021-03-30 18:28:59"
421,1080,2668,"2021-04-06 16:08:05","2021-04-06 16:08:05"
422,1080,2668,"2021-04-06 16:08:05","2021-04-06 16:08:05"
423,1080,2668,"2021-04-06 16:14:48","2021-04-06 16:14:48"
424,3248,2669,"2021-04-27 14:05:17","2021-04-27 14:05:17"
425,2978,2633,"2021-05-25 17:44:27","2021-05-25 17:44:27"
426,3248,2633,"2021-05-25 17:49:39","2021-05-25 17:49:39"
427,3574,2633,"2021-05-27 10:15:28","2021-05-27 10:15:28"
428,3900,2633,"2021-05-27 10:16:56","2021-05-27 10:16:56"
429,4116,2633,"2021-05-27 11:19:06","2021-05-27 11:19:06"
430,500,2671,"2021-05-28 16:36:56","2021-05-28 16:36:56"
431,4550,2633,"2021-07-12 16:17:21","2021-07-12 16:17:21"
432,542,2673,"2021-08-27 13:22:07","2021-08-27 13:22:07"
433,1084,2673,"2021-08-27 13:36:52","2021-08-27 13:36:52"
434,1626,2673,"2021-08-27 15:36:59","2021-08-27 15:36:59"
435,2736,2673,"2021-08-27 15:49:45","2021-08-27 15:49:45"
436,3114,2673,"2021-08-27 15:58:30","2021-08-27 15:58:30"
437,3725,2673,"2021-08-27 16:28:08","2021-08-27 16:28:08"
438,3875,2673,"2021-08-27 16:32:11","2021-08-27 16:32:11"
439,4930,2633,"2021-10-05 17:09:23","2021-10-05 17:09:23"
440,5130,2633,"2021-11-02 13:52:30","2021-11-02 13:52:30"
441,948,2657,"2021-11-12 13:04:00","2021-11-12 13:04:00"
442,1358,2657,"2021-11-29 19:04:07","2021-11-29 19:04:07"
443,3790,2669,"2021-12-01 11:18:12","2021-12-01 11:18:12"
444,4332,2669,"2021-12-01 11:27:07","2021-12-01 11:27:07"
445,756,2690,"2022-03-18 13:02:08","2022-03-18 13:02:08"
446,1258,2657,"2023-03-31 23:35:42","2023-03-31 23:35:42"
447,758,2657,"2023-03-31 23:40:10","2023-03-31 23:40:10"
448,0,2657,"2023-04-01 00:03:45","2023-04-01 00:03:45"
449,1080,2668,"2023-07-17 11:44:00","2023-07-17 11:44:00"
450,0,2693,"2023-10-03 11:21:20","2023-10-03 11:21:20"
